"file_id","dataset_id","mip_era","activity_drs","institution_id","source_id","experiment_id","member_id","table_id","frequency","grid_label","version","nominal_resolution","variable_id","variable_long_name","variable_units","datetime_start","datetime_end","file_size","data_node","file_url","dataset_pid","tracking_id"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603.tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmin","Daily Minimum Near-Surface Air Temperature","K",1950-01-01,1999-12-31,2153679928,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmin/gn/v20190603/tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc","hdl:21.14100/ec0a2648-4abd-32b8-84d2-702c2a5d53ae","hdl:21.14100/ca85e03e-5cfa-4fa3-8510-29e9b32aeaf0"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603.tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmin","Daily Minimum Near-Surface Air Temperature","K",2000-01-01,2014-12-31,645135190,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmin/gn/v20190603/tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc","hdl:21.14100/ec0a2648-4abd-32b8-84d2-702c2a5d53ae","hdl:21.14100/2618efbb-0a15-460d-bd11-1d094c70819e"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603.tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tas","Near-Surface Air Temperature","K",1850-01-01,1899-12-31,2133233280,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tas/gn/v20190603/tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc","hdl:21.14100/833a0b1f-ba8c-33e7-a676-e1f3155c7801","hdl:21.14100/1b9aeec2-6de8-41f5-abd1-4b665502854a"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603.tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tas","Near-Surface Air Temperature","K",1900-01-01,1949-12-31,2132631754,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tas/gn/v20190603/tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc","hdl:21.14100/833a0b1f-ba8c-33e7-a676-e1f3155c7801","hdl:21.14100/3187383a-3130-4b0d-a182-771774eb9fa2"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603.tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tas","Near-Surface Air Temperature","K",1950-01-01,1999-12-31,2131796905,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tas/gn/v20190603/tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc","hdl:21.14100/833a0b1f-ba8c-33e7-a676-e1f3155c7801","hdl:21.14100/ee6bbc84-40cd-40a6-87ad-8a8b5a9de9c2"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603.tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tas.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tas","Near-Surface Air Temperature","K",2000-01-01,2014-12-31,638642956,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tas/gn/v20190603/tas_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc","hdl:21.14100/833a0b1f-ba8c-33e7-a676-e1f3155c7801","hdl:21.14100/1b374fbe-dacb-431e-aafa-afb73e6bf796"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_18500101-18591231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1850-01-01,1859-12-31,459446387,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_18500101-18591231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_18600101-18691231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1860-01-01,1869-12-31,459262987,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_18600101-18691231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_18700101-18791231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1870-01-01,1879-12-31,459348305,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_18700101-18791231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_18800101-18891231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1880-01-01,1889-12-31,459397953,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_18800101-18891231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_18900101-18991231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1890-01-01,1899-12-31,459227465,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_18900101-18991231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19000101-19091231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1900-01-01,1909-12-31,459273170,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19000101-19091231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19100101-19191231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1910-01-01,1919-12-31,459338778,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19100101-19191231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19200101-19291231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1920-01-01,1929-12-31,459207966,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19200101-19291231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19300101-19391231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1930-01-01,1939-12-31,459075383,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19300101-19391231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19400101-19491231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1940-01-01,1949-12-31,459168539,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19400101-19491231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1950-01-01,1959-12-31,459167507,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1960-01-01,1969-12-31,459195084,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
"CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308.tas_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc|esgf-data.ucar.edu","CMIP6.CMIP.NCAR.CESM2.historical.r1i1p1f1.day.tas.gn.v20190308|esgf-data.ucar.edu","CMIP6","CMIP","NCAR","CESM2","historical","r1i1p1f1","day","day","gn","20190308","100 km","tas","Near-Surface Air Temperature","K",1970-01-01,1979-12-31,458959515,"esgf-data.ucar.edu","http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc","hdl:21.14100/16f7732b-7a59-3a41-b230-a9ae077a9677","hdl:21.14100/ee4dcacc-1783-41de-96d0-88dcba6bd1e2"
