"file_id","dataset_id","mip_era","activity_drs","institution_id","source_id","experiment_id","member_id","table_id","frequency","grid_label","version","nominal_resolution","variable_id","variable_long_name","variable_units","datetime_start","datetime_end","file_size","data_node","file_url","dataset_pid","tracking_id"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603.pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","pr","Precipitation","kg m-2 s-1",1850-01-01,1899-12-31,3136386048,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/pr/gn/v20190603/pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc","hdl:21.14100/cc7f5a29-bf0a-32c7-b2a9-d29883bc1053","hdl:21.14100/e15e6863-68bc-4142-8994-cd5daf56d0ed"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603.pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","pr","Precipitation","kg m-2 s-1",1900-01-01,1949-12-31,3136421316,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/pr/gn/v20190603/pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc","hdl:21.14100/cc7f5a29-bf0a-32c7-b2a9-d29883bc1053","hdl:21.14100/7aaaf9e2-fbcd-4371-adae-51223cc86568"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603.pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","pr","Precipitation","kg m-2 s-1",1950-01-01,1999-12-31,3137121893,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/pr/gn/v20190603/pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc","hdl:21.14100/cc7f5a29-bf0a-32c7-b2a9-d29883bc1053","hdl:21.14100/6f59c4de-4716-4c25-ad2f-08bdbd5dd388"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603.pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.pr.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","pr","Precipitation","kg m-2 s-1",2000-01-01,2014-12-31,941285144,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/pr/gn/v20190603/pr_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc","hdl:21.14100/cc7f5a29-bf0a-32c7-b2a9-d29883bc1053","hdl:21.14100/7f6ba558-15c4-497b-bd8c-0bddea1857f4"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603.tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmax","Daily Maximum Near-Surface Air Temperature","K",1850-01-01,1899-12-31,2148624437,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmax/gn/v20190603/tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc","hdl:21.14100/532e1713-4c52-3417-90ac-8cb450ea1de4","hdl:21.14100/0ad1571c-214c-4b8c-8c46-352f26d6cd07"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603.tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmax","Daily Maximum Near-Surface Air Temperature","K",1900-01-01,1949-12-31,2148090484,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmax/gn/v20190603/tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc","hdl:21.14100/532e1713-4c52-3417-90ac-8cb450ea1de4","hdl:21.14100/0340dd46-8678-4624-94f9-03b41e2627f2"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603.tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmax","Daily Maximum Near-Surface Air Temperature","K",1950-01-01,1999-12-31,2147302948,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmax/gn/v20190603/tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc","hdl:21.14100/532e1713-4c52-3417-90ac-8cb450ea1de4","hdl:21.14100/8275b8a9-92c7-422a-9838-0771776f5048"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603.tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmax.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmax","Daily Maximum Near-Surface Air Temperature","K",2000-01-01,2014-12-31,643268111,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmax/gn/v20190603/tasmax_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc","hdl:21.14100/532e1713-4c52-3417-90ac-8cb450ea1de4","hdl:21.14100/640dc915-eec4-48f0-8b82-b260bae9a8d4"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603.tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmin","Daily Minimum Near-Surface Air Temperature","K",1850-01-01,1899-12-31,2155811837,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmin/gn/v20190603/tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_18500101-18991231.nc","hdl:21.14100/ec0a2648-4abd-32b8-84d2-702c2a5d53ae","hdl:21.14100/1a7c7f7f-c76c-4e09-be7a-13c73af2713f"
"CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603.tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc|esgf-data2.diasjp.net","CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.tasmin.gn.v20190603|esgf-data2.diasjp.net","CMIP6","CMIP","MRI","MRI-ESM2-0","historical","r1i1p1f1","day","day","gn","20190603","100 km","tasmin","Daily Minimum Near-Surface Air Temperature","K",1900-01-01,1949-12-31,2154964805,"esgf-data2.diasjp.net","http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/tasmin/gn/v20190603/tasmin_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19000101-19491231.nc","hdl:21.14100/ec0a2648-4abd-32b8-84d2-702c2a5d53ae","hdl:21.14100/4f8d3b68-981d-422a-b1c1-c86a0dbd0cb5"
